,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,Unemployment,Professional,Service,Drive,1,2,3,4,5,6,7,8,9,10
43195,1939,22.6,19.0,53.0,0.8,27250.0,26.8,17.3,29.3,25.8,81.7,0,0,2,2,3,3,3,5,8,8
43196,4731,5.9,11.9,72.4,2.2,24091.0,43.3,8.7,34.8,31.6,47.7,0,0,2,2,2,2,6,2,8,2
43197,5558,11.0,43.5,27.2,10.1,33454.0,30.5,11.8,29.4,35.0,66.1,0,0,2,3,3,3,3,5,8,6
43198,2459,3.9,85.2,5.3,3.7,74255.0,6.5,5.2,49.9,16.1,85.7,0,1,1,1,1,1,1,1,1,4
43199,4695,8.8,64.3,14.7,8.9,70815.0,10.7,5.4,57.3,22.1,78.2,0,1,1,1,1,1,1,1,1,1
43201,3590,25.3,37.3,28.3,3.3,35663.0,23.2,7.1,26.2,28.4,53.3,0,0,2,3,2,2,2,2,0,6
43202,3708,7.9,68.9,13.1,7.5,48409.0,24.4,10.3,41.9,19.7,65.5,0,1,1,1,1,1,2,4,4,6
43203,3764,16.4,34.9,31.0,11.1,26078.0,48.0,12.3,17.2,28.8,41.1,0,0,2,3,3,3,3,5,8,8
43204,3711,12.6,7.5,76.3,0.8,29955.0,32.5,13.8,18.7,38.4,53.2,0,0,2,2,3,3,3,5,8,8
43205,2176,19.5,14.0,60.9,0.0,17044.0,56.2,27.3,26.7,44.0,39.2,0,0,2,3,3,3,3,5,8,8
43206,1403,4.8,46.8,31.5,12.4,23036.0,39.3,3.7,37.5,21.8,37.6,0,0,2,2,2,2,2,3,3,6
43207,3877,6.8,60.7,20.9,8.8,43920.0,17.0,0.2,59.6,10.9,46.4,0,1,1,1,1,5,1,3,3,3
43208,4551,9.8,63.4,9.6,8.6,32231.0,29.5,3.7,49.7,23.1,73.1,0,1,1,1,1,1,2,4,4,6
43209,4198,6.9,74.0,5.9,8.9,48333.0,29.6,6.0,47.8,19.8,74.0,0,1,1,1,1,1,2,4,4,6
43210,4476,4.4,71.2,11.5,7.6,62978.0,12.5,3.9,42.3,17.6,65.6,0,1,1,1,1,1,1,1,1,4
43211,7044,4.5,77.5,8.8,7.6,71106.0,4.9,3.5,55.7,12.2,77.1,0,1,1,1,1,5,1,1,1,1
43212,4195,2.2,76.9,9.9,5.2,62813.0,10.2,3.9,51.1,19.7,76.6,0,1,1,1,1,1,1,1,1,4
43213,2610,5.2,75.1,9.7,5.3,86809.0,8.3,5.5,63.2,10.0,75.6,0,1,1,1,1,5,1,1,1,1
43214,2450,1.3,82.5,10.1,2.3,81616.0,8.2,2.7,56.0,14.4,85.0,0,1,1,1,1,1,1,1,1,1
43215,5949,7.5,48.5,18.8,14.7,40673.0,24.4,0.9,32.9,22.3,71.3,0,1,1,1,1,1,2,4,4,6
43216,3550,10.7,41.6,21.0,20.9,49541.0,26.4,3.8,39.1,28.7,40.4,0,0,0,0,4,4,4,3,3,6
43217,2545,8.8,55.9,19.2,11.3,44583.0,19.7,7.7,44.8,16.5,55.9,0,1,1,1,1,1,2,3,3,3
43218,1895,11.1,36.3,51.6,0.8,30329.0,34.7,6.6,25.7,34.9,46.3,0,0,2,2,3,2,6,2,8,6
43219,3140,19.4,6.8,69.6,0.0,18421.0,49.6,12.2,22.3,43.2,31.9,0,0,2,3,3,3,3,5,8,8
43220,5194,10.6,20.7,56.4,8.1,35611.0,25.0,10.5,19.4,38.1,60.6,0,0,2,2,2,2,6,2,2,2
43221,2550,2.9,85.9,5.2,4.5,49118.0,11.0,4.0,34.5,16.8,79.5,0,1,1,1,1,1,2,4,4,4
43222,3858,11.3,77.4,5.8,1.1,37614.0,24.0,11.9,20.4,35.1,67.7,0,0,2,3,3,1,2,4,4,6
43223,3439,3.1,81.3,5.5,0.4,36944.0,22.3,17.6,21.8,15.1,84.8,0,1,1,1,3,1,2,4,4,6
43224,6727,2.7,91.3,5.2,0.1,60450.0,6.5,2.3,42.6,16.1,82.8,0,1,1,1,1,1,1,1,1,1
43225,2621,9.7,80.2,4.0,4.3,49875.0,8.5,8.8,37.9,19.7,84.5,0,1,1,1,1,1,2,4,4,4
43226,2954,7.1,80.8,3.5,0.1,36176.0,23.1,10.3,23.2,20.8,69.4,0,1,1,1,1,1,2,4,4,6
43227,4921,4.4,69.1,17.2,6.1,52410.0,15.9,5.3,32.6,23.4,79.1,0,1,1,1,1,1,2,4,4,4
43228,2326,5.9,84.3,4.5,3.2,50800.0,8.0,3.6,26.7,22.2,78.0,0,1,1,1,1,1,2,4,4,4
43229,5217,6.0,71.6,3.9,14.0,72900.0,13.1,3.4,50.5,12.3,86.3,0,1,1,1,1,1,1,1,1,1
43230,2743,4.3,85.0,0.4,9.8,74286.0,7.9,5.6,42.4,14.5,84.2,0,1,1,1,1,1,1,1,1,4
43231,6924,8.6,73.4,1.0,11.6,61850.0,7.2,1.5,40.4,17.7,79.6,0,1,1,1,1,1,1,1,1,1
43232,2409,10.5,68.8,4.8,5.7,82582.0,11.2,6.8,49.2,17.5,81.7,0,1,1,1,1,1,1,1,1,4
43233,6761,2.9,80.5,3.0,11.8,98438.0,5.1,4.1,56.8,15.9,80.3,0,1,1,1,1,5,1,1,1,1
43234,9673,6.2,75.3,6.9,9.6,73271.0,5.7,5.3,42.0,17.8,74.1,0,1,1,1,1,1,1,1,1,1
43235,4287,8.6,56.7,15.5,16.3,62887.0,14.8,5.5,56.9,9.8,79.8,0,1,1,1,1,1,1,1,1,3
43236,2654,3.2,67.7,18.6,9.3,98750.0,1.0,3.3,45.1,17.9,89.7,0,1,1,1,1,1,1,1,1,1
43237,6610,0.6,93.0,3.0,2.3,71203.0,4.2,3.3,42.0,22.3,85.8,0,1,1,1,1,1,1,1,1,1
43238,2098,2.6,85.7,0.2,6.4,118125.0,3.5,2.6,64.5,10.6,83.4,0,1,1,1,1,5,1,1,1,1
43239,6148,2.2,80.5,8.8,5.3,89471.0,2.5,3.5,61.4,7.2,84.7,0,1,1,1,1,5,1,1,1,1
43240,7018,5.7,77.7,8.6,6.0,58724.0,4.2,5.7,39.5,15.1,86.1,0,1,1,1,1,1,1,1,1,1
43241,4386,0.0,90.4,3.1,3.3,107381.0,3.4,5.1,50.8,11.9,87.1,0,1,1,1,1,5,1,1,1,1
43242,2407,6.6,80.3,4.6,5.2,71523.0,5.3,2.5,29.5,20.7,89.8,0,1,1,1,1,1,2,4,4,4
43243,5449,2.9,81.4,1.7,9.8,83325.0,3.3,3.8,37.2,10.7,90.4,0,1,1,1,1,1,1,1,1,1
43244,4076,2.6,68.7,9.7,15.8,56557.0,12.0,4.8,45.2,25.4,77.6,0,1,1,1,1,1,2,4,4,4
43245,4191,4.8,85.8,4.6,1.9,66616.0,9.5,3.6,44.6,13.4,86.6,0,1,1,1,1,1,1,1,1,4
43246,5142,0.6,88.9,0.6,8.9,99464.0,2.9,4.4,64.0,11.3,85.3,0,1,1,1,1,5,1,1,1,1
43247,5727,2.0,86.2,3.3,5.3,94960.0,10.5,5.1,59.0,12.4,83.8,0,1,1,1,1,5,1,1,1,1
43248,6121,1.8,95.2,0.9,1.0,83429.0,3.4,4.8,59.9,10.9,87.6,0,1,1,1,1,5,1,1,1,1
43249,6416,1.3,89.2,4.5,2.4,110781.0,1.5,4.9,69.6,5.9,83.8,0,1,1,1,1,5,1,1,1,1
43250,3048,0.0,92.7,4.4,0.0,78482.0,12.9,6.3,38.7,13.2,87.8,0,1,1,1,1,1,2,4,4,4
43251,8458,2.3,90.4,0.4,5.5,105701.0,3.7,0.8,51.9,11.6,80.8,0,1,1,1,1,5,1,1,1,1
43252,4167,1.1,98.2,0.1,0.2,69792.0,6.7,2.0,33.4,11.3,86.7,0,1,1,1,1,1,1,1,1,4
43253,3266,1.3,90.7,6.8,0.0,52500.0,9.5,2.9,36.4,14.9,91.6,0,1,1,1,1,1,2,4,4,4
43254,2381,0.5,96.7,0.0,2.5,105000.0,4.0,4.1,52.0,11.2,87.6,0,1,1,1,1,5,1,1,1,1
43255,3573,4.5,92.5,0.0,0.6,81250.0,3.4,2.1,42.2,10.6,84.9,0,1,1,1,1,1,1,1,1,1
43256,2829,4.0,92.2,0.7,2.3,90888.0,3.7,4.8,49.3,9.9,85.8,0,1,1,1,1,1,1,1,1,1
43257,3450,3.1,89.7,2.0,4.6,89816.0,3.2,5.3,48.7,12.5,89.7,0,1,1,1,1,1,1,1,1,1
43258,8068,2.5,89.3,2.7,5.5,100109.0,2.9,1.9,54.5,14.0,85.2,0,1,1,1,1,5,1,1,1,1
43259,4133,6.8,79.3,8.6,4.4,71515.0,7.6,8.3,36.9,24.9,75.2,0,1,1,1,1,1,2,4,4,4
43260,4719,3.3,77.1,5.4,10.3,65536.0,6.7,3.0,53.1,10.8,85.6,0,1,1,1,1,1,1,1,1,1
43261,2162,1.2,86.4,0.5,6.7,103482.0,1.6,4.1,55.7,9.4,90.9,0,1,1,1,1,5,1,1,1,1
