County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Abbeville County,24788,214406.0,0.03,1.71,0.62,0.01,0.54,0.23,0.65,0.51,1.93
Acadia Parish,62607,514376.0,0.05,1.49,0.34,0.0,0.42,0.17,0.51,0.34,1.61
Accomack County,32840,332271.0,0.19,1.55,0.63,0.02,0.49,0.13,0.72,0.42,1.93
Ada County,435117,3669479.0,0.11,1.15,0.02,0.04,0.17,0.06,0.59,0.22,1.09
Adair County,74069,797155.0,0.09,2.43,0.05,0.03,0.77,0.17,0.84,0.54,2.4
Adams County,831788,10720580.0,0.54,1.47,0.12,0.05,0.32,0.13,0.65,0.42,1.75
Addison County,36825,615443.0,0.05,2.54,0.02,0.05,0.22,0.12,1.1,0.46,1.96
Adjuntas Municipio,18525,68623.0,3.22,0.01,0.0,0.0,2.11,1.36,1.13,0.72,2.85
Aguada Municipio,39470,154497.0,2.14,0.09,0.0,0.0,1.18,0.4,0.61,0.62,1.55
Aguadilla Municipio,55722,267881.0,2.79,0.03,0.01,0.01,1.56,0.69,0.84,0.69,2.35
Aguas Buenas Municipio,26855,101140.0,2.22,0.01,0.0,0.0,1.09,0.48,0.53,0.46,1.86
Aibonito Municipio,24008,110234.0,2.49,0.01,0.0,0.0,1.24,0.18,0.82,0.55,2.14
Aiken County,165707,1562607.0,0.1,1.31,0.46,0.02,0.33,0.18,0.63,0.33,1.63
Aitkin County,15841,274593.0,0.04,3.57,0.02,0.01,0.46,0.25,1.15,0.74,3.02
Alachua County,259865,2594751.0,0.2,1.32,0.45,0.12,0.56,0.16,0.96,0.44,1.56
Alamance County,157844,1694961.0,0.26,1.54,0.39,0.03,0.39,0.13,0.77,0.39,1.95
Alameda County,1629615,32912042.0,0.48,0.75,0.26,0.59,0.26,0.14,1.06,0.36,1.34
Alamosa County,16345,163052.0,1.0,1.32,0.03,0.02,0.59,0.21,0.79,0.51,1.87
Albany County,346524,5279561.0,0.16,1.8,0.28,0.14,0.37,0.15,1.04,0.46,1.82
Albemarle County,105105,1575602.0,0.13,1.59,0.19,0.12,0.31,0.07,1.14,0.32,1.51
Alcona County,10413,205865.0,0.07,4.62,0.01,0.02,0.69,0.44,1.18,1.01,3.84
Alcorn County,37242,266793.0,0.06,1.57,0.21,0.01,0.37,0.16,0.54,0.28,1.6
Aleutians East Borough,3338,66607.0,0.29,0.46,0.14,0.78,0.5,0.07,0.49,0.41,0.79
Aleutians West Census Area,5784,153718.0,0.42,0.81,0.14,0.87,0.38,0.09,0.76,0.56,1.49
Alexander County,43935,450250.0,0.07,1.94,0.43,0.02,0.53,0.18,0.68,0.46,2.15
Alexandria city,154710,4199840.0,0.36,1.4,0.47,0.14,0.22,0.09,1.5,0.36,1.45
Alfalfa County,5877,173661.0,0.23,4.02,0.08,0.0,0.6,0.23,1.63,0.78,3.94
Alger County,9254,134672.0,0.05,2.71,0.25,0.0,0.41,0.24,0.93,0.71,2.41
Allamakee County,13940,243265.0,0.18,3.32,0.03,0.01,0.38,0.12,1.08,0.53,2.66
